IVIRSE | INFO flwr 2023-07-17 10:40:49,040 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=4, round_timeout=None)
IVIRSE | INFO flwr 2023-07-17 10:40:49,937 | app.py:168 | Flower ECE: gRPC server running (4 rounds), SSL is disabled
IVIRSE | INFO flwr 2023-07-17 10:40:49,938 | server.py:86 | Initializing global parameters
IVIRSE | INFO flwr 2023-07-17 10:40:49,940 | server.py:273 | Requesting initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 10:41:08,463 | server.py:277 | Received initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 10:41:08,464 | server.py:88 | Evaluating initial parameters
IVIRSE | INFO flwr 2023-07-17 10:41:08,464 | server.py:101 | FL starting
IVIRSE | DEBUG flwr 2023-07-17 10:41:47,838 | server.py:218 | fit_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 10:48:39,387 | server.py:232 | fit_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 10:48:39,408 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 10:48:39,409 | server.py:168 | evaluate_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 10:48:45,164 | server.py:182 | evaluate_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 10:48:45,164 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 10:48:45,166 | server.py:218 | fit_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 10:49:20,499 | server.py:232 | fit_round 2 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 10:49:20,514 | server.py:168 | evaluate_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 10:49:25,700 | server.py:182 | evaluate_round 2 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 10:49:25,701 | server.py:218 | fit_round 3: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 10:50:00,271 | server.py:232 | fit_round 3 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 10:50:00,283 | server.py:168 | evaluate_round 3: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 10:50:06,786 | server.py:182 | evaluate_round 3 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 10:50:06,787 | server.py:218 | fit_round 4: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 10:50:45,984 | server.py:232 | fit_round 4 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 10:50:45,997 | server.py:168 | evaluate_round 4: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 10:50:51,238 | server.py:182 | evaluate_round 4 received 2 results and 0 failures
IVIRSE | INFO flwr 2023-07-17 10:50:51,239 | server.py:147 | FL finished in 582.7714536999999
IVIRSE | INFO flwr 2023-07-17 10:50:51,240 | app.py:218 | app_fit: losses_distributed [(1, 598.538330078125), (2, 491.2152404785156), (3, 451.7478332519531), (4, 425.054931640625)]
IVIRSE | INFO flwr 2023-07-17 10:50:51,240 | app.py:219 | app_fit: metrics_distributed_fit {}
IVIRSE | INFO flwr 2023-07-17 10:50:51,241 | app.py:220 | app_fit: metrics_distributed {}
IVIRSE | INFO flwr 2023-07-17 10:50:51,243 | app.py:221 | app_fit: losses_centralized []
IVIRSE | INFO flwr 2023-07-17 10:50:51,244 | app.py:222 | app_fit: metrics_centralized {}
IVIRSE | INFO flwr 2023-07-17 10:55:09,999 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=4, round_timeout=None)
IVIRSE | INFO flwr 2023-07-17 10:55:10,901 | app.py:168 | Flower ECE: gRPC server running (4 rounds), SSL is disabled
IVIRSE | INFO flwr 2023-07-17 10:55:10,901 | server.py:86 | Initializing global parameters 
IVIRSE | INFO flwr 2023-07-17 10:55:10,903 | server.py:273 | Requesting initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:08:50,166 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=4, round_timeout=None)
IVIRSE | INFO flwr 2023-07-17 11:08:51,067 | app.py:168 | Flower ECE: gRPC server running (4 rounds), SSL is disabled
IVIRSE | INFO flwr 2023-07-17 11:08:51,068 | server.py:86 | Initializing global parameters
IVIRSE | INFO flwr 2023-07-17 11:08:51,070 | server.py:273 | Requesting initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:10:05,025 | server.py:277 | Received initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:10:05,027 | server.py:88 | Evaluating initial parameters
IVIRSE | INFO flwr 2023-07-17 11:10:05,028 | server.py:101 | FL starting
IVIRSE | DEBUG flwr 2023-07-17 11:10:07,962 | server.py:218 | fit_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:10:50,858 | server.py:232 | fit_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:10:50,894 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:10:50,895 | server.py:168 | evaluate_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:10:58,604 | server.py:182 | evaluate_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:10:58,604 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:10:58,606 | server.py:218 | fit_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:11:33,568 | server.py:232 | fit_round 2 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:11:33,583 | server.py:168 | evaluate_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:11:38,718 | server.py:182 | evaluate_round 2 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:11:38,719 | server.py:218 | fit_round 3: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:12:11,828 | server.py:232 | fit_round 3 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:12:11,844 | server.py:168 | evaluate_round 3: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:12:17,208 | server.py:182 | evaluate_round 3 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:12:17,209 | server.py:218 | fit_round 4: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:12:50,827 | server.py:232 | fit_round 4 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:12:50,842 | server.py:168 | evaluate_round 4: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:12:55,888 | server.py:182 | evaluate_round 4 received 2 results and 0 failures
IVIRSE | INFO flwr 2023-07-17 11:12:55,889 | server.py:147 | FL finished in 170.8577081
IVIRSE | INFO flwr 2023-07-17 11:12:55,890 | app.py:218 | app_fit: losses_distributed [(1, 622.0778198242188), (2, 504.5858459472656), (3, 474.0787048339844), (4, 437.7008056640625)]
